Left-side Question prompt,Nurses' Note,Vital Signs,Orders,Right-side Question Prompt,Question instruction,Medication,Drug Classification,Client Teaching,Correct Answer,Explanation,Difficulty level,Avg. Peers Score,Time taken,Subject,Lesson,Client need area,Client need topic,Question type,Additional Info,Hint 1,Hint 2,Hint 3,Hint 4,Hint 5,Question Template
The following scenario applies to the next 1 items,"1600: Client reports increased blood pressure readings while at home, stating, 'I take it every day, and over the past week, it has been running about 165/95 mm Hg.' The client reports full adherence to his prescribed antihypertensive medication, which includes lisinopril and hydrochlorothiazide. The client notes he has been increasingly anxious about several work projects and 'cannot turn my mind off.' He says he cannot fall asleep and only gets 5-6 hours of sleep per night. He reports that the anxiety and inability to sleep started three weeks ago. He denies any recent illness. Upon assessment, the client appears tired and is completely oriented. Glasgow Coma Scale 15, Clear lung sounds with non-labored respirations. Active bowel sounds in all quadrants. Skin is warm and moist. Denies any pain.","Oral temperature 101.1° F (38.3° C)

Pulse 88/minute

Respirations 16/minute

Blood pressure 158/96

Pulse oximetry reading 96% on room air","Discharge home
Schedule a follow-up appointment in four weeks
Sertraline 50 mg PO Daily
Clonidine 0.1 mg PO Daily
Zolpidem 5 mg PO, PRN insomnia",The nurse reviews the orders and formulates a teaching plan for the newly prescribed medications,"For each medication, select the appropriate option for drug classification and client teaching","1. Sertraline
2. Clonidine
3. Zolpidem","1a). aldosterone receptor antagonist
1b). alpha2-adrenergic agonist
1c). calcium channel blocker
2a). atypical antipsychotic
2b). tricyclic antidepressant
2c). selective serotonin reuptake inhibitor
3a). benzodiazepine
3b). anticonvulsant
3c). hypnotic","1a). This medication may cause you to beocme dizzy or tired.
1b). You may experience frequent urination
1c). You will need to reduce the amount of potassium in your diet 
2a). You should notice mood improvement within 5 to 7 days.
2b). You may notice an increase in libido.
2c). Diarrhea is a common side effect of this medication
3a). Do not take this medication with alcohol
3b). See emergency care for a persistent, painful erection
3c). Take this medication two hours before bedtime","1a). This medication may cause you to beocme dizzy or tired.
2a). You should notice mood improvement within 5 to 7 days.
3b). See emergency care for a persistent, painful erection","Clonidine is an alpha2-adrenergic agonist and is indicated in the treatment of hypertension. The medication may be administered as a pill or transdermal patch for seven days. Clonidine should not be abruptly discontinued because of the risk of rebound hypertension due to a catecholamine surge. Clonidine has a sedative effect, and the client should not take this medication with alcohol or while driving/performing tasks requiring a high degree of concentration. An example of a calcium channel blocker would be diltiazem or nifedipine. An example of an aldosterone receptor antagonist would be spironolactone.

Sertraline is a potent, selective serotonin reuptake inhibitor. Sertraline is indicated in treating anxiety, obsessive-compulsive, and depressive disorders. In this client, it is likely the sertraline is being used for the client's anxiety. This medication has a favorable cardiac side-effect profile and is aptly prescribed for this client. SSRIs take four to six weeks to gain efficacy. A new medication may be attempted if no efficacy is observed in twelve weeks. Most SSRIs cause a decrease in libido and sexual performance. This may be a temporary effect. SSRIs typically cause gastrointestinal distress once they are started and may be lessened by taking the medication with food. This effect generally resolves on its own. An example of an atypical antipsychotic would be aripiprazole or ziprasidone. An example of a tricyclic antidepressant would be doxepin or nortriptyline.

Zolpidem is a non-benzodiazepine sedative-hypnotic indicated in the treatment of insomnia. Zolpidem has a rapid onset and should be taken immediately before the planned bedtime. Falls are a significant concern with this medication, especially for older adults. Another consideration is suicidality, as zolpidem has precipitated clients to experience suicidality. This medication should not be taken with alcohol or other CNS depressants because of the risk of respiratory depression. An example of a benzodiazepine would be alprazolam or diazepam. An example of an anticonvulsant would be topiramate or phenytoin. A persistent, painful erection (priapism) should be reported for trazodone - not zolpidem.",Medium,3/6,4 mins,Pharmcology,Psychiatric Medications,"Pharmacological and Parenteral Therapie
",Expected Actions/ Outcomes,Prioritize Hypothesis,Image,"Nurses Note: 1600, Client reports increased blood pressure and anxiety.","Vital Signs: Blood pressure 158/96, Pulse 88.","Orders: Sertraline, an SSRI, and Clonidine, an alpha2-adrenergic agonist.",Client Teaching: Sertraline may take 4-6 weeks to be effective.,Safety: Clonidine should not be discontinued abruptly.,close_drop_down_2
The following scenario applies to the next 1 items,"1000: Client reports sudden onset of shortness of breath and chest pain radiating to the left arm. The client is diaphoretic and appears anxious. He has a history of hypertension and type 2 diabetes mellitus. The client states he took his morning medications, which include metformin and amlodipine. Upon assessment, the client is alert but appears distressed. Clear lung sounds, regular heart rhythm with no murmurs.","Oral temperature 98.6¬∞ F (37¬∞ C)
Pulse 110/minute
Respirations 24/minute
Blood pressure 150/90
Pulse oximetry reading 92% on room air","Administer oxygen 2L/min via nasal cannula
Obtain ECG
Administer nitroglycerin 0.4 mg SL q5min PRN chest pain
Metoprolol 25 mg PO BID
Schedule a follow-up appointment in one week",The nurse reviews the orders and prepares to administer nitroglycerin.,Select the appropriate nursing actions and client teaching for nitroglycerin administration.,1. Sertraline; 2. Clonidine; 3. Zolpidem;,"1a) Antidepressant
1b) Antipsychotic
1c) Antihistamine
2a) Antihypertensive
2b) Anticholinergic
2c) Antidiabetic
3a) Hypnotic
3b) Anticonvulsant
3c) Anxiolytic","1a). This medication may cause headaches due to blood vessel dilation.
1b). Sit or lie down when taking this medication to avoid dizziness.
1c). Store this medication in a cool, dry place away from light.
2a). This medication may cause jitteriness and an increased heart rate.
2b). Rinse your mouth after using the inhaler to prevent irritation.
2c). Complete the full course of antibiotics even if you feel better.
3a). This medication may cause rapid heart rate.
3b). Rinse your mouth after use.
3c). Take this medication in the evening.","1c). Store this medication in a cool, dry place away from light.
on.
2c). Complete the full course of antibiotics even if you feel better.
3a). This medication may cause rapid heart rate.
","Nitroglycerin is a vasodilator used to treat angina by relaxing blood vessels and increasing blood flow to the heart. Clients should be instructed to sit or lie down when taking the medication to prevent falls due to dizziness. Common side effects include headaches and flushing. Nitroglycerin should be stored in its original container, tightly closed, and kept away from heat and moisture.",High,6-Feb,5 mins,Cardiology,Cardiac Medications,Pharmacological and Parenteral Therapies,Expected Actions/Outcomes,Application,Image,"Nurses Note: 1000, Client with shortness of breath and chest pain.","Vital Signs: Blood pressure 150/90, Pulse 110.","Orders: Nitroglycerin for chest pain, Metoprolol for heart rate.",Client Teaching: Nitroglycerin can cause headaches and dizziness.,"Safety: Store nitroglycerin in a cool, dry place.",close_drop_down_2
The following scenario applies to the next 1 items,"0900: Client is a 68-year-old female admitted for pneumonia. She has a productive cough with green sputum and complains of chest discomfort. The client has a history of COPD and uses supplemental oxygen at home. She reports adherence to her medications, including albuterol and fluticasone inhalers. Upon assessment, the client appears tired and pale. Crackles are heard in the lower lobes of both lungs. She denies any nausea or vomiting.","Oral temperature 100.4¬∞ F (38¬∞ C)
Pulse 98/minute
Respirations 22/minute
Blood pressure 132/84
Pulse oximetry reading 90% on 2L oxygen","Administer IV antibiotics
Increase oxygen to 3L/min
Administer albuterol nebulizer q4h PRN
Schedule a follow-up chest X-ray in 48 hours",The nurse prepares to administer the prescribed medications.,Select the appropriate nursing actions and client teaching for the administration of albuterol and antibiotics.,1. Metoprolol; 2. Nitroglycerin; 3. Oxygen;,"1a) Beta-blocker
1b) Calcium channel blocker
1c) Diuretic
2a) Vasodilator
2b) Anticoagulant
2c) Antiarrhythmic
3a) Respiratory agent
3b) Analgesic
3c) Sedative","1a). Administer within 15 minutes of a meal.
1b). Monitor for signs of hypoglycemia.
1c). Rotate injection sites to prevent lipodystrophy.
2a). Monitor for signs of electrolyte imbalance.
2b). Assess for decreased edema.
2c). Instruct the client to report any signs of hearing loss.
3a). Monitor heart rate and blood pressure before and after administration.
3b). Instruct the client to rise slowly from a sitting or lying position.
3c). Assess for signs of dizziness or lightheadedness.","1a). Administer within 15 minutes of a meal.
2b). Assess for decreased edema.
3b). Instruct the client to rise slowly from a sitting or lying position.
","Albuterol is a beta2-agonist used to relieve bronchospasm in conditions such as asthma and COPD. It may cause side effects like jitteriness, tremors, and an increased heart rate. Clients should rinse their mouth after using the inhaler to prevent irritation and infections. IV antibiotics are used to treat bacterial infections and must be completed as prescribed to ensure full eradication of the pathogen. Signs of allergic reactions should be reported immediately.",Medium,6-Apr,4 mins,Respiratory,Respiratory Medications,Pharmacological and Parenteral Therapies,Expected Actions/Outcomes,Application,Image,"Nurses Note: 0900, 68-year-old female with pneumonia and COPD.","Vital Signs: Respirations 22, Pulse 98.","Orders: IV antibiotics, increase oxygen to 3L/min.",Client Teaching:,,close_drop_down_2
The following scenario applies to the next 1 items,"1000: Client reports a persistent cough for the past two weeks. He states, 'It's worse at night and I have trouble sleeping.' The client denies fever, chills, or recent travel. He has a history of asthma and uses albuterol inhaler PRN. Upon assessment, the client appears in mild distress with increased work of breathing. Wheezing is noted on auscultation.",Oral temperature 98.6° F (37° C) Pulse 94/minute Respirations 24/minute Blood pressure 130/82 Pulse oximetry reading 92% on room air,Nebulized albuterol 2.5 mg QID PRN Fluticasone 100 mcg inhaler BID Montelukast 10 mg PO Daily,The nurse reviews the orders and formulates a teaching plan for the newly prescribed medications,"For each medication, select the appropriate option for drug classification and client teaching",1. Albuterol; 2. IV Antibiotics; 3. Increase Oxygen;,"1a) Bronchodilator
1b) Antihistamine
1c) Corticosteroid
2a) Antibacterial
2b) Antiviral
2c) Antifungal
3a) Oxygen therapy
3b) Antihypertensive
3c) Anticoagulant","1a). Monitor for signs of bleeding.
1b). Assess injection sites for hematoma formation.
1c). Instruct the client to avoid activities that increase the risk of bleeding.
2a). Monitor for signs of gastrointestinal bleeding.
2b). Assess for relief of pain and swelling.
2c). Instruct the client to take with food to reduce gastric irritation.
3a). Monitor blood pressure before and after administration.
3b). Instruct the client to sit or lie down during administration.
3c). Assess for relief of chest pain.","1a). Monitor for signs of bleeding.
2c). Instruct the client to take with food to reduce gastric irritation.
3a). Monitor blood pressure before and after administration.
","Albuterol is a beta2-agonist used for quick relief of asthma symptoms by relaxing bronchial smooth muscles. Fluticasone is an inhaled corticosteroid that helps to reduce inflammation in the airways, requiring regular use to be effective. Montelukast is a leukotriene receptor antagonist used as a long-term control medication to reduce asthma symptoms by blocking leukotrienes, which cause inflammation, bronchoconstriction, and mucus production.",Medium,4/6,5 mins,Respiratory,Asthma Management,Physiological Integrity,Medications,Multiple Choice,,Albuterol may cause jitteriness.,Safety: Complete the full course of antibiotics.,,,,close_drop_down_2
The following scenario applies to the next 1 items,"0830: Client presents with severe abdominal pain that started 6 hours ago. He describes the pain as sharp and radiating to the back. He has a history of gallstones. On examination, the client is lying still with guarding. Bowel sounds are hypoactive.",Oral temperature 99.5° F (37.5° C) Pulse 110/minute Respirations 22/minute Blood pressure 142/90 Pulse oximetry reading 95% on room air,NPO status IV fluids: 0.9% Normal Saline at 125 mL/hr Morphine 4 mg IV every 4 hours PRN pain Omeprazole 20 mg PO Daily,The nurse prepares to administer morphine as prescribed.,Select the appropriate nursing interventions and considerations for administering morphine.,1. Albuterol; 2. Fluticasone; 3. Montelukast;,"1a) Bronchodilator
1b) Antihistamine
1c) Corticosteroid
2a) Corticosteroid
2b) Bronchodilator
2c) Antihistamine
3a) Leukotriene receptor antagonist
3b) Antihistamine
3c) Bronchodilator","1a). Monitor for respiratory depression.
1b). Ensure the client is not allergic to opioids.
1c). Assess pain relief after administration.
2a). Monitor heart rate and blood pressure before administration.
2b). Instruct the client to rise slowly from a sitting or lying position.
2c). Assess for signs of heart failure.
3a). Monitor for headache and dizziness.
3b). Assess for relief of nausea and vomiting.
3c). Instruct the client to report any signs of irregular heartbeat.","1b). Ensure the client is not allergic to opioids.
2c). Assess for signs of heart failure.
3c). Instruct the client to report any signs of irregular heartbeat.","Morphine is an opioid analgesic used for moderate to severe pain management. It acts on the central nervous system to reduce pain perception. The nurse must monitor the client for adverse effects such as respiratory depression, sedation, and hypotension. Adequate hydration and monitoring of bowel function are essential to prevent constipation.",Medium,3/6,4 mins,Gastrointestinal,Pain Management,Safe and Effective Care Environment,Pain Assessment,Multiple Choice,,"Nurses Note: 1000, Client with persistent cough worsened at night.","Vital Signs: Respirations 24, Blood pressure 130/82.","Orders: Nebulized albuterol, Fluticasone inhaler.",Client Teaching: Fluticasone is for regular use to reduce inflammation.,Safety: Monitor for side effects like jitteriness.,close_drop_down_2
The following scenario applies to the next 1 items,"1100: Client reports palpitations and shortness of breath. He has a history of atrial fibrillation and is on warfarin therapy. Upon assessment, the client appears anxious and is diaphoretic.","Oral temperature 98.4° F (36.9° C) Pulse 120/minute, irregular Respirations 20/minute Blood pressure 138/88 Pulse oximetry reading 94% on room air","ECG Stat CBC, PT/INR Metoprolol 5 mg IV over 5 minutes Warfarin 2.5 mg PO Daily",The nurse prepares to administer metoprolol as prescribed.,Select the appropriate nursing interventions and considerations for administering metoprolol.,1. Morphine; 2. Omeprazole; 3. IV Fluids;,"1a) Opioid analgesic
1b) NSAID
1c) Antidepressant
2a) Proton pump inhibitor
2b) Antacid
2c) Antiemetic
3a) Intravenous solution
3b) Blood product
3c) Diuretic","1a). Monitor for signs of allergic reaction.
1b). Assess for relief of symptoms.
1c). Instruct the client to report any signs of tendon pain or inflammation.
2a). Monitor for signs of extrapyramidal symptoms.
2b). Assess for improvement in agitation.
2c). Instruct the client to report any signs of tardive dyskinesia.
3a). Monitor for signs of hypotension.
3b). Assess for relief of urinary symptoms.
3c). Instruct the client to take the medication 30 minutes after the same meal each day.","1c). Instruct the client to report any signs of tendon pain or inflammation.
2c). Instruct the client to report any signs of tardive dyskinesia.
3a). Monitor for signs of hypotension.
","Metoprolol is a beta-blocker used to manage atrial fibrillation and hypertension by decreasing the heart rate and myocardial contractility. The nurse must monitor the client for bradycardia, hypotension, and signs of heart failure such as shortness of breath and edema.",Medium,4/6,4 mins,Cardiovascular,Atrial Fibrillation Management,Physiological Integrity,Cardiac Monitoring,Multiple Choice,,"Nurses Note: 0830, Client with severe abdominal pain and history of gallstones.","Vital Signs: Blood pressure 142/90, Pulse 110.","Orders: Morphine for pain, omeprazole.",Client Teaching: Morphine can cause constipation.,Safety: Monitor for respiratory depression with morphine.,close_drop_down_2
The following scenario applies to the next 1 items,"0900: Client presents with severe right lower quadrant abdominal pain, nausea, and vomiting. The client reports the pain started 12 hours ago and has progressively worsened. On examination, there is rebound tenderness and guarding.",Oral temperature 100.4° F (38° C) Pulse 100/minute Respirations 20/minute Blood pressure 130/80 Pulse oximetry reading 97% on room air,NPO status IV fluids: 0.9% Normal Saline at 125 mL/hr Ondansetron 4 mg IV every 6 hours PRN nausea Surgical consult for possible appendectomy,The nurse prepares to administer ondansetron as prescribed.,Select the appropriate nursing interventions and considerations for administering ondansetron.,1. Metoprolol; 2. Warfarin; 3. ECG Monitoring;,"1a) Beta-blocker
1b) ACE inhibitor
1c) Calcium channel blocker
2a) Anticoagulant
2b) Antiplatelet
2c) Thrombolytic
3a) Diagnostic test
3b) Therapeutic procedure
3c) Monitoring tool","1a). Monitor for signs of gastrointestinal discomfort.
1b). Assess for improvement in hemoglobin and hematocrit levels.
1c). Instruct the client to take the medication with vitamin C to enhance absorption.
2a). Monitor for signs of improved breathing.
2b). Assess for relief of allergic symptoms.
2c). Instruct the client to seek emergency care if symptoms worsen.
3a). Monitor for signs of liver toxicity.
3b). Assess for relief of pain and swelling.
3c). Instruct the client not to exceed the recommended daily dose.","1b). Assess for improvement in hemoglobin and hematocrit levels.
2a). Monitor for signs of improved breathing.
3c). Instruct the client not to exceed the recommended daily dose.","Ondansetron is an antiemetic used to prevent nausea and vomiting by blocking serotonin receptors in the chemoreceptor trigger zone. The nurse must monitor the client for adverse effects such as headache, dizziness, and potential QT prolongation.",Medium,3/6,4 mins,Gastrointestinal,Nausea and Vomiting Management,Safe and Effective Care Environment,Nausea Management,Multiple Choice,,"Nurses Note: 1100, Client with palpitations and atrial fibrillation on warfarin.","Vital Signs: Blood pressure 138/88, Pulse 120 irregular.",Orders: Metoprolol to manage atrial fibrillation.,Client Teaching: Monitor for bradycardia with metoprolol.,Safety: Observe for signs of heart failure.,close_drop_down_2
The following scenario applies to the next 1 items,"0730: Client reports frequent urination, thirst, and fatigue. He has a history of type 2 diabetes mellitus and is on metformin. Upon assessment, the client appears dehydrated with dry mucous membranes.",Oral temperature 98.2° F (36.8° C) Pulse 90/minute Respirations 18/minute Blood pressure 140/85 Pulse oximetry reading 98% on room air,Fingerstick blood glucose stat IV fluids: 0.9% Normal Saline at 125 mL/hr Metformin 500 mg PO BID Insulin aspart 5 units subcut with meals,The nurse prepares to administer insulin aspart as prescribed.,Select the appropriate nursing interventions and considerations for administering insulin aspart.,1. Ondansetron; 2. IV Fluids; 3. Surgical Consult;,"1a) Antiemetic
1b) Antihistamine
1c) Analgesic
2a) Intravenous solution
2b) Blood product
2c) Nutritional supplement
3a) Diagnostic evaluation
3b) Therapeutic procedure
3c) Preventive measure","1a). Administer within 15 minutes of a meal.
1b). Monitor for signs of hypoglycemia.
1c). Rotate injection sites to prevent lipodystrophy.

2a). Monitor for signs of gastrointestinal bleeding.
2b). Assess for relief of symptoms.
2c). Instruct the client to take the medication before meals.

3a). Monitor for signs of chest pain.
3b). Assess for relief of headache.
3c). Instruct the client to report any signs of tingling or numbness.","1a). Administer within 15 minutes of a meal.

2a). Monitor for signs of gastrointestinal bleeding.

3b). Assess for relief of headache.","Insulin aspart is a rapid-acting insulin used to control postprandial blood glucose levels in clients with diabetes mellitus. It should be administered within 15 minutes before a meal to ensure proper glucose control. The nurse must monitor the client for signs of hypoglycemia, such as sweating, shaking, and confusion, and ensure proper rotation of injection sites to prevent lipodystrophy.",Medium,3/6,4 mins,Endocrine,Diabetes Management,Health Promotion and Maintenance,Blood Glucose Monitoring,Multiple Choice,,"Nurses Note: 0900, Client with right lower quadrant pain and guarding.","Vital Signs: Blood pressure 130/80, Pulse 100.",Orders: Ondansetron for nausea.,Client Teaching: Report any signs of irregular heartbeat.,Safety: Monitor for headache and dizziness.,close_drop_down_2
The following scenario applies to the next 1 items,"0800: Client reports dizziness, fatigue, and shortness of breath on exertion. He has a history of chronic heart failure and is on digoxin therapy. Upon assessment, the client appears pale and is mildly diaphoretic.",Oral temperature 98.0° F (36.7° C) Pulse 55/minute Respirations 18/minute Blood pressure 110/70 Pulse oximetry reading 95% on room air,"ECG Stat Digoxin level stat CBC, BMP Furosemide 20 mg IV once Digoxin 0.125 mg PO Daily",The nurse prepares to administer furosemide as prescribed.,Select the appropriate nursing interventions and considerations for administering furosemide.,1. Insulin Aspart; 2. Metformin; 3. IV Fluids;,"1a) Rapid-acting insulin
1b) Oral hypoglycemic
1c) Long-acting insulin
2a) Biguanide
2b) Sulfonylurea
2c) Thiazolidinedione
3a) Intravenous solution
3b) Blood product
3c) Nutritional supplement","1a). Monitor for signs of electrolyte imbalance.
1b). Assess for decreased edema.
1c). Instruct the client to report any signs of hearing loss.
2a). Monitor for signs of bleeding.
2b). Assess for improvement in respiratory status.
2c). Instruct the client to avoid activities that increase the risk of bleeding.
3a). Monitor for signs of drowsiness.
3b). Assess for relief of muscle spasms.
3c). Instruct the client to avoid alcohol and other CNS depressants.","1b). Assess for decreased edema.

2b). Assess for improvement in respiratory status.

3a). Monitor for signs of drowsiness.","Furosemide is a loop diuretic used to reduce fluid overload in clients with heart failure by increasing the excretion of sodium and water. The nurse must monitor the client for electrolyte imbalances, such as hypokalemia and hyponatremia, and assess for decreased peripheral and pulmonary edema. Furosemide can cause ototoxicity, so the client should report any signs of hearing loss.",Medium,4/6,5 mins,Cardiovascular,Heart Failure Management,Physiological Integrity,Fluid Volume Balance,Multiple Choice,,"Nurses Note: 0730, Client with frequent urination and fatigue",history of diabetes.,"Vital Signs: Blood pressure 140/85, Pulse 90.",Orders: Insulin aspart for blood glucose control.,Client Teaching: Administer within 15 minutes of a meal.,close_drop_down_2
The following scenario applies to the next 1 items,"0930: Client presents with sudden onset of severe headache, blurred vision, and vomiting. He has a history of hypertension and is on amlodipine. Upon assessment, the client appears in distress with an altered level of consciousness.",Oral temperature 98.8° F (37.1° C) Pulse 80/minute Respirations 20/minute Blood pressure 180/110 Pulse oximetry reading 96% on room air,CT scan of the head stat IV labetalol 20 mg over 2 minutes Repeat blood pressure every 15 minutes,The nurse prepares to administer labetalol as prescribed.,Select the appropriate nursing interventions and considerations for administering labetalol.,1. Furosemide; 2. Digoxin; 3. ECG Monitoring;,"1a) Diuretic
1b) Beta-blocker
1c) Anticoagulant
2a) Cardiac glycoside
2b) Calcium channel blocker
2c) ACE inhibitor
3a) Diagnostic test
3b) Therapeutic procedure
3c) Monitoring tool","1a). Monitor heart rate and blood pressure before and after administration.
1b). Instruct the client to rise slowly from a sitting or lying position.
1c). Assess for signs of dizziness or lightheadedness.
2a). Monitor for signs of improved breathing.
2b). Assess for relief of allergic symptoms.
2c). Instruct the client to seek emergency care if symptoms worsen.
3a). Monitor blood pressure before and after administration.
3b). Instruct the client to sit or lie down during administration.
3c). Assess for relief of chest pain.","1c). Assess for signs of dizziness or lightheadedness.
2a). Monitor for signs of improved breathing.
3a). Monitor blood pressure before and after administration.","Labetalol is a beta-blocker used to manage hypertensive emergencies by reducing heart rate and blood pressure. The nurse must monitor the client for bradycardia, hypotension, and signs of dizziness or lightheadedness. The client should be instructed to rise slowly from a sitting or lying position to prevent orthostatic hypotension.",Medium,4/6,5 mins,Neurological,Hypertensive Emergency,Safe and Effective Care Environment,Blood Pressure Management,Multiple Choice,,"Nurses Note: 0800, Client with dizziness and fatigue",history of chronic heart failure.,"Vital Signs: Pulse 55, Blood pressure 110/70.",Orders: Furosemide for fluid overload.,Client Teaching: Report any signs of hearing loss.,close_drop_down_2
