Left-side Question Prompt,Nurse's Note,Vital Signs,Question Instruction,Answer Choices,Correct Answers,Explanation,Difficulty Level,Avg. Peers Score,Time Taken,Subject,Lesson,Client Need Area,Client Need Topic,Question Type,Additional Info,Hint 1,Hint 2,Hint 3,Hint 4,Hint 5,Question Template
The nurse is caring for a ten-year-old diagnosed with gastroenteritis.,"The client’s parents indicate that he has been vomiting for the past twelve hours and has been unable to keep any fluids or foods down. The client’s parents report that a similar illness has circulated in his school for several weeks. The assessment showed a child who was lethargic and fully oriented. The skin was hot, and the eyes appeared to have sunken in appearance. Capillary refill time was > 2 seconds. The client was communicative and reported no pain. Bowel sounds were active in all four quadrants, with no pain endorsed upon palpation. The client has no known medical history, is up to date with all immunizations, and takes no medications.",The vital signs are not explicitly mentioned in the image.,"Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Measure the abdominal girth
2). Instruct the avoidance of sweetened drinks
3). Insertion of nasogastric tube (NGT)
4). Start a 24-hour urine collection
5). Provide a mask to the parents
6). Obtain an order to insert a peripheral vascular access device","1). Measure the abdominal girth
3). Insertion of nasogastric tube (NGT)
4). Start a 24-hour urine collection
5). Provide a mask to the parents","Based on the client's symptoms and assessment, the focus should be on addressing dehydration and monitoring the child's condition. Insertion of a nasogastric tube (NGT) is essential for administering fluids and medications if the child cannot keep anything down orally. A peripheral vascular access device is necessary for intravenous fluids and medications. Other options, like providing a mask to parents, are not directly relevant to the immediate care needed.",Moderate,70%,10:00 minutes,Pediatrics,Gastroenteritis management,Health Promotion and Maintenance,"Gastroenteritis, Dehydration",Multiple Choice - Multiple Response,Ensure understanding of the management of pediatric gastroenteritis and related complications.,Focus on dehydration and fluid management,Consider nasogastric tube for hydration,Peripheral access device may be needed,Monitor child's condition closely,Avoid unnecessary masks for parents,multiple_choice_multiple_response
The nurse is caring for a 65-year-old male with a history of COPD.,The client reports increased shortness of breath over the past two days. He has been using his rescue inhaler more frequently. Breath sounds are diminished with prolonged expiration. The client appears anxious.,"BP: 130/85, HR: 98, RR: 28, O2 Sat: 88% on room air","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer prescribed bronchodilator
2). Encourage pursed-lip breathing
3). Initiate oxygen therapy
4). Monitor respiratory status
5). Educate on smoking cessation","1). Administer prescribed bronchodilator
2). Encourage pursed-lip breathing
3). Initiate oxygen therapy
5). Educate on smoking cessation",The focus is on improving oxygenation and easing breathing. Bronchodilators and oxygen therapy are essential. Pursed-lip breathing helps reduce air trapping.,Moderate,75%,10:00 minutes,Adult Health,Respiratory Management,Physiological Integrity,COPD exacerbation,Multiple Choice - Multiple Response,Ensure understanding of COPD management and emergency interventions.,Improve oxygenation,Use bronchodilators,Oxygen therapy is crucial,Pursed-lip breathing helps,Provide smoking cessation education,multiple_choice_multiple_response
The nurse is caring for a postpartum client who delivered a healthy infant 24 hours ago.,The client reports severe perineal pain and an inability to urinate. The perineum appears swollen and bruised.,"BP: 120/80, HR: 85, RR: 18, Temp: 37°C","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer prescribed analgesics
2). Apply an ice pack to the perineum
3). Encourage ambulation
4). Monitor urinary output
5). Assess for signs of infection","1). Administer prescribed analgesics
2). Apply an ice pack to the perineum
5). Assess for signs of infection","The focus is on pain management, reducing swelling, and ensuring urinary function. Analgesics and ice packs help with pain and swelling.",Easy,80%,8:00 minutes,Maternal Newborn,Postpartum Care,Physiological Integrity,Perineal care,Multiple Choice - Multiple Response,Ensure understanding of postpartum complications and care.,Manage pain,Reduce swelling with ice,Check for infection signs,Encourage ambulation cautiously,Monitor urinary output,multiple_choice_multiple_response
The nurse is caring for a 50-year-old client with type 2 diabetes.,The client reports dizziness and shakiness. Blood glucose reading is 50 mg/dL. The client appears pale and diaphoretic.,"BP: 110/70, HR: 95, RR: 20","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer 15g of fast-acting carbohydrate
2). Recheck blood glucose in 15 minutes
3). Monitor for improvement in symptoms
4). Provide a complex carbohydrate snack
5). Notify the healthcare provider","2). Recheck blood glucose in 15 minutes
3). Monitor for improvement in symptoms
4). Provide a complex carbohydrate snack
5). Notify the healthcare provider","The focus is on treating hypoglycemia. Fast-acting carbohydrates will quickly raise blood sugar, followed by complex carbs to maintain levels.",Moderate,70%,12:00 minutes,Adult Health,Diabetes Management,Physiological Integrity,Hypoglycemia treatment,Multiple Choice - Multiple Response,Ensure understanding of hypoglycemia management in diabetic clients.,Treat hypoglycemia,Fast-acting carbs are urgent,Recheck glucose after 15 minutes,Provide complex carbs for stability,Notify healthcare provider if needed,multiple_choice_multiple_response
The nurse is caring for a client with schizophrenia experiencing auditory hallucinations.,"The client states, ""The voices are telling me to harm myself."" The client appears anxious and is pacing the room.","BP: 125/80, HR: 90, RR: 22","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Ensure the client is in a safe environment
2). Notify the healthcare provider
3). Administer prescribed antipsychotic medication
4). Provide a calm and quiet environment
5). Encourage the client to express feelings","1). Ensure the client is in a safe environment
3). Administer prescribed antipsychotic medication
4). Provide a calm and quiet environment
5). Encourage the client to express feelings",The focus is on safety and managing hallucinations. Ensuring a safe environment and administering medication are crucial.,Moderate,65%,15:00 minutes,Mental Health,Psychosis Management,Safety and Infection Control,Auditory hallucinations,Multiple Choice - Multiple Response,Ensure understanding of managing acute psychotic episodes.,Ensure safety,Notify healthcare provider,Administer antipsychotic medication,Maintain calm environment,Encourage expression of feelings,multiple_choice_multiple_response
The nurse is caring for a 70-year-old client with heart failure.,The client reports increased shortness of breath and swelling in the legs. The client has gained 5 pounds in the last three days. Lung sounds reveal crackles bilaterally.,"BP: 140/90, HR: 92, RR: 24, O2 Sat: 90% on room air","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer prescribed diuretics
2). Monitor daily weights
3). Elevate the legs
4). Restrict fluid intake
5). Educate on low-sodium diet","1). Administer prescribed diuretics
2). Monitor daily weights
5). Educate on low-sodium diet",The focus is on reducing fluid overload and improving breathing. Diuretics and fluid restriction are essential.,Moderate,72%,10:00 minutes,Adult Health,Cardiac Management,Physiological Integrity,Heart failure management,Multiple Choice - Multiple Response,Ensure understanding of heart failure exacerbation management.,Address fluid overload,Administer diuretics,Monitor daily weights,Educate on low-sodium diet,Elevate the legs as needed,multiple_choice_multiple_response
The nurse is caring for a 35-year-old female with suspected appendicitis.,"The client reports severe abdominal pain in the lower right quadrant, nausea, and vomiting. The abdomen is tender to palpation with rebound tenderness.","BP: 130/85, HR: 100, RR: 22, Temp: 38.3°C","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer prescribed diuretics
2). Monitor daily weights
3). Elevate the legs
4). Restrict fluid intake
5). Educate on low-sodium diet","1). Administer prescribed diuretics
3). Elevate the legs
4). Restrict fluid intake",The focus is on preparing for surgery and managing pain. Keeping the client NPO is essential for surgery preparation.,Moderate,78%,8:00 minutes,Adult Health,Gastrointestinal Management,Physiological Integrity,Appendicitis,Multiple Choice - Multiple Response,Ensure understanding of preoperative and postoperative care for appendicitis.,Prepare for surgery,Pain management is key,Keep client NPO,Monitor for complications,Reassure and educate the client,multiple_choice_multiple_response
The nurse is caring for a 22-year-old client with a newly diagnosed seizure disorder.,The client experienced a tonic-clonic seizure lasting 2 minutes. The client is now drowsy but arousable.,"BP: 120/75, HR: 85, RR: 18","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Keep the client NPO
2). Prepare for possible surgery
3). Administer prescribed analgesics
4). Monitor for signs of perforation
5). Educate on postoperative care","1). Keep the client NPO
2). Prepare for possible surgery
4). Monitor for signs of perforation
5). Educate on postoperative care",The focus is on ensuring safety and airway patency post-seizure. Administering medication and educating on precautions are crucial.,Moderate,70%,12:00 minutes,Neurology,Seizure Management,Physiological Integrity,Seizure disorder,Multiple Choice - Multiple Response,Ensure understanding of immediate and long-term seizure management.,Safety post-seizure,Ensure airway patency,Monitor for complications,Administer medications,Educate on seizure precautions,multiple_choice_multiple_response
The nurse is caring for a 45-year-old client with hypertension.,The client reports a headache and blurred vision. Blood pressure readings over the past week have been consistently high.,"BP: 160/100, HR: 88, RR: 20","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Ensure airway patency
2). Place the client in a side-lying position
3). Administer prescribed anticonvulsants
4). Monitor neurological status
5). Educate on seizure precautions","1). Ensure airway patency
2). Place the client in a side-lying position
4). Monitor neurological status",The focus is on managing high blood pressure and preventing complications. Medication adherence and dietary changes are essential.,Moderate,68%,10:00 minutes,Adult Health,Hypertension Management,Health Promotion and Maintenance,Hypertension,Multiple Choice - Multiple Response,Ensure understanding of hypertension management and lifestyle modifications.,Manage hypertension symptoms,Ensure airway patency,Monitor neurological status,Educate on lifestyle changes,Encourage medication adherence,multiple_choice_multiple_response
The nurse is caring for a 60-year-old client post-myocardial infarction.,The client reports chest pain radiating to the left arm. The client appears anxious and is diaphoretic.,"BP: 140/90, HR: 110, RR: 24","Based on the client assessment, the nurse should plan to take which actions? Select all that apply.","1). Administer prescribed antihypertensive medication
2). Educate on the importance of medication adherence
3). Monitor blood pressure regularly
4). Encourage a low-sodium diet
5). Schedule a follow-up appointment","1). Administer prescribed antihypertensive medication
3). Monitor blood pressure regularly
4). Encourage a low-sodium diet
5). Schedule a follow-up appointment",The focus is on managing chest pain and preventing further cardiac damage. Nitroglycerin and oxygen therapy are essential.,High,60%,15:00 minutes,Adult Health,Cardiac Management,Physiological Integrity,Myocardial infarction,Multiple Choice - Multiple Response,Ensure understanding of acute MI management and interventions.,Manage chest pain,Administer antihypertensives,Monitor BP regularly,Educate on low-sodium diet,Schedule follow-up appointments,multiple_choice_multiple_response
